Tag Number,Site,Plot,Species,Surv1,Surv2,Surv3,Surv4,Repr1,Repr2,Repr3,Repr4,Notes,Date:,Date:,Date:,Date:,
221,15_05,2,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
222,15_05,2,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
223,15_05,2,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
224,15_05,2,Anthaenantia villosa,1,1,1,1,N,N,N,N,tiny bit of green,4/10/2024,5/29,8/7/2024,10/22/2024,
225,15_05,2,Anthaenantia villosa,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
226,15_05,2,Anthaenantia villosa,0,1,1,1,N,N,N,N,gone,4/10/2024,5/29,8/7/2024,10/22/2024,
227,15_05,2,Anthaenantia villosa,1,1,1,1,N,N,N,N,barely green,4/10/2024,5/29,8/7/2024,10/22/2024,
228,15_05,2,Anthaenantia villosa,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
229,15_05,2,Anthaenantia villosa,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
230,15_05,2,Anthaenantia villosa,1,1,1,1,N,N,N,N,barely green,4/10/2024,5/29,8/7/2024,10/22/2024,
231,15_05,2,Anthaenantia villosa,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
232,15_05,2,Anthaenantia villosa,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
233,15_05,2,Anthaenantia villosa,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
234,15_05,2,Anthaenantia villosa,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
235,15_05,2,Anthaenantia villosa,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
236,15_05,2,Anthaenantia villosa,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
237,15_05,2,Anthaenantia villosa,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
238,15_05,2,Anthaenantia villosa,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
239,15_05,2,Anthaenantia villosa,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
240,15_05,2,Anthaenantia villosa,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
241,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
242,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
243,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
244,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
245,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
246,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
247,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
248,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
249,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
250,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
251,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
252,15_05,2,Liatris spicata,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
253,15_05,2,Liatris spicata,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
254,15_05,2,Liatris spicata,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
255,15_05,2,Liatris spicata,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
256,15_05,2,Liatris spicata,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
257,15_05,2,Liatris spicata,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
258,15_05,2,Liatris spicata,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
259,15_05,2,Liatris spicata,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
260,15_05,2,Liatris spicata,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
261,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
262,15_05,2,Andropogon glomeratus,1,0,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
263,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
264,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
265,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
266,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
267,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
268,15_05,2,Andropogon glomeratus,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
269,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
270,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
271,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
272,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
273,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
274,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
275,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
276,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
277,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
278,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
279,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
280,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
281,15_05,2,Balduina uniflora,1,0,0,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
282,15_05,2,Balduina uniflora,1,1,0,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
283,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
284,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
285,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
286,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
287,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
288,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
289,15_05,2,Andropogon glomeratus,1,0,0,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
290,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
291,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
292,15_05,2,Andropogon glomeratus,1,0,0,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
293,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
294,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
295,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
296,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
297,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
298,15_05,2,Andropogon glomeratus,1,0,0,1,N,N,N,N,tiny bit of green,4/10/2024,5/29,8/7/2024,10/22/2024,
299,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
300,15_05,2,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
301,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
302,15_05,2,Balduina uniflora,1,0,0,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
303,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
304,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
305,15_05,2,Balduina uniflora,1,0,0,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
306,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
307,15_05,2,Balduina uniflora,1,1,0,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
308,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
309,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
310,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
311,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
312,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
313,15_05,2,Balduina uniflora,1,1,0,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
314,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
315,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
316,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
317,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
318,15_05,2,Balduina uniflora,1,0,0,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
319,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
320,15_05,2,Balduina uniflora,1,0,0,0,N,N,N,N,looks rough,4/10/2024,5/29,8/7/2024,10/22/2024,
321,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
322,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
323,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
324,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
325,15_05,2,Balduina uniflora,1,1,0,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
326,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
327,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
328,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
329,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
330,15_05,2,Balduina uniflora,1,1,0,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
331,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
332,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
333,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
334,15_05,2,Balduina uniflora,1,0,0,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
335,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
336,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
337,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
338,15_05,2,Balduina uniflora,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
339,15_05,2,Balduina uniflora,1,0,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
340,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
341,15_05,2,Balduina uniflora,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
342,15_05,2,Balduina uniflora,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
343,15_05,2,Balduina uniflora,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
344,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
345,15_05,2,Balduina uniflora,1,1,0,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
346,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
347,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
348,15_05,2,Balduina uniflora,1,1,0,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
349,15_05,2,Balduina uniflora,1,1,0,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
350,15_05,2,Balduina uniflora,1,0,0,0,N,N,N,N,barely alive,4/10/2024,5/29,8/7/2024,10/22/2024,
351,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
352,15_05,2,Balduina uniflora,1,1,0,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
353,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
354,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
355,15_05,2,Balduina uniflora,1,1,0,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
356,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
357,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
358,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
359,15_05,2,Balduina uniflora,0,0,0,1,N,N,N,N,gone,4/10/2024,5/29,8/7/2024,10/22/2024,
360,15_05,2,Balduina uniflora,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
361,15_05,3,Oxypolis rigidior,0,1,1,0,N,N,N,N,dead,4/10/2024,5/29,8/7/2024,10/22/2024,
362,15_05,3,Oxypolis rigidior,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
363,15_05,3,Oxypolis rigidior,1,1,1,0,N,N,N,N,barely alive,4/10/2024,5/29,8/7/2024,10/22/2024,
364,15_05,3,Oxypolis rigidior,0,1,1,0,N,N,N,N,dead,4/10/2024,5/29,8/7/2024,10/22/2024,
365,15_05,3,Oxypolis rigidior,1,1,0,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
366,15_05,3,Oxypolis rigidior,1,1,0,0,N,N,N,N,barely alive,4/10/2024,5/29,8/7/2024,10/22/2024,
367,15_05,3,Oxypolis rigidior,1,0,0,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
368,15_05,3,Oxypolis rigidior,0,0,0,0,N,N,N,N,not found,4/10/2024,5/29,8/7/2024,10/22/2024,
369,15_05,3,Oxypolis rigidior,1,1,0,0,N,N,N,N,barely alive,4/10/2024,5/29,8/7/2024,10/22/2024,
370,15_05,3,Oxypolis rigidior,1,1,1,1,N,N,N,N,10/22: dying,4/10/2024,5/29,8/7/2024,10/22/2024,
371,15_05,3,Oxypolis rigidior,1,0,0,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
372,15_05,3,Oxypolis rigidior,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
373,15_05,3,Oxypolis rigidior,0,0,1,1,N,N,N,N,not found,4/10/2024,5/29,8/7/2024,10/22/2024,
374,15_05,3,Oxypolis rigidior,1,1,0,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
375,15_05,3,Oxypolis rigidior,1,0,0,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
376,15_05,3,Oxypolis rigidior,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
377,15_05,3,Oxypolis rigidior,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
378,15_05,3,Oxypolis rigidior,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
379,15_05,3,Oxypolis rigidior,0,1,1,0,N,N,N,N,not found,4/10/2024,5/29,8/7/2024,10/22/2024,
380,15_05,3,Oxypolis rigidior,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
381,15_05,3,Oxypolis rigidior,0,1,1,1,N,N,N,N,not found,4/10/2024,5/29,8/7/2024,10/22/2024,
382,15_05,3,Oxypolis rigidior,0,0,0,0,N,N,N,N,not found,4/10/2024,5/29,8/7/2024,10/22/2024,
383,15_05,3,Oxypolis rigidior,0,1,1,1,N,N,N,N,not found,4/10/2024,5/29,8/7/2024,10/22/2024,
384,15_05,3,Oxypolis rigidior,0,1,1,0,N,N,N,N,not found,4/10/2024,5/29,8/7/2024,10/22/2024,
385,15_05,3,Oxypolis rigidior,0,0,1,0,N,N,N,N,not found,4/10/2024,5/29,8/7/2024,10/22/2024,
386,15_05,3,Oxypolis rigidior,0,0,0,0,N,N,N,N,not found,4/10/2024,5/29,8/7/2024,10/22/2024,
387,15_05,3,Oxypolis rigidior,0,0,1,0,N,N,N,N,not found,4/10/2024,5/29,8/7/2024,10/22/2024,
388,15_05,3,Rhynchospora latifolia,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
389,15_05,3,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
390,15_05,3,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
391,15_05,3,Rhynchospora latifolia,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
392,15_05,3,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
393,15_05,3,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
394,15_05,3,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
395,15_05,3,Rhynchospora latifolia,1,1,0,0,N,N,N,N,barely alive,4/10/2024,5/29,8/7/2024,10/22/2024,
396,15_05,3,Rhynchospora latifolia,1,0,0,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
397,15_05,3,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
398,15_05,3,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
399,15_05,3,Rhynchospora latifolia,1,1,1,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
400,15_05,3,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
401,15_05,3,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
402,15_05,3,Rhynchospora latifolia,1,0,0,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
403,15_05,3,Rhynchospora latifolia,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
404,15_05,3,Anthaenantia villosa,0,0,0,0,N,N,N,N,looks dead,4/10/2024,5/29,8/7/2024,10/22/2024,
405,15_05,3,Anthaenantia villosa,1,1,0,0,N,N,N,N,barely alive -1; almost dead -2,4/10/2024,5/29,8/7/2024,10/22/2024,
406,15_05,3,Anthaenantia villosa,1,1,1,1,N,N,N,N,barely alive,4/10/2024,5/29,8/7/2024,10/22/2024,
407,15_05,3,Anthaenantia villosa,1,1,1,1,N,N,N,N,barely alive,4/10/2024,5/29,8/7/2024,10/22/2024,
408,15_05,3,Anthaenantia villosa,1,1,1,1,N,N,N,N,barely alive,4/10/2024,5/29,8/7/2024,10/22/2024,
409,15_05,3,Anthaenantia villosa,1,1,0,0,N,N,N,N,barely alive,4/10/2024,5/29,8/7/2024,10/22/2024,
410,15_05,3,Anthaenantia villosa,0,1,0,0,N,N,N,N,not found,4/10/2024,5/29,8/7/2024,10/22/2024,
411,15_05,3,Anthaenantia villosa,1,1,1,1,N,N,N,N,barely alive,4/10/2024,5/29,8/7/2024,10/22/2024,
412,15_05,3,Anthaenantia villosa,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
413,15_05,3,Anthaenantia villosa,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
414,15_05,3,Anthaenantia villosa,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
415,15_05,3,Anthaenantia villosa,1,1,1,1,N,N,N,N,barely alive,4/10/2024,5/29,8/7/2024,10/22/2024,
416,15_05,3,Anthaenantia villosa,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
417,15_05,3,Anthaenantia villosa,1,1,0,0,N,N,N,N,barely alive,4/10/2024,5/29,8/7/2024,10/22/2024,
418,15_05,3,Anthaenantia villosa,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
419,15_05,3,Anthaenantia villosa,1,0,0,0,N,N,N,N,barely alive,4/10/2024,5/29,8/7/2024,10/22/2024,
420,15_05,3,Anthaenantia villosa,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
421,15_05,3,Liatris spicata,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
422,15_05,3,Liatris spicata,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
423,15_05,3,Liatris spicata,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
424,15_05,3,Liatris spicata,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
425,15_05,3,Liatris spicata,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
426,15_05,3,Liatris spicata,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
427,15_05,3,Liatris spicata,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
428,15_05,3,Liatris spicata,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
429,15_05,3,Liatris spicata,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
430,15_05,3,Liatris spicata,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
431,15_05,3,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
432,15_05,3,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
433,15_05,3,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
434,15_05,3,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
435,15_05,3,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
436,15_05,3,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
437,15_05,3,Andropogon glomeratus,1,0,0,0,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
438,15_05,3,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
439,15_05,3,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
440,15_05,3,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
441,15_05,3,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
442,15_05,3,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
443,15_05,3,Andropogon glomeratus,1,1,0,1,N,N,N,N,-1; almost dead -2,4/10/2024,5/29,8/7/2024,10/22/2024,
444,15_05,3,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
445,15_05,3,Andropogon glomeratus,1,1,1,1,N,N,N,N,,4/10/2024,5/29,8/7/2024,10/22/2024,
